,geo,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,image_id,point_id,timestamp
0,,168,4979,3024,3039,5868,5174,4822,4971,4789,4708,5841,4653,9954,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,499,2020-12-05,20201205T103419_20201205T103418_T32UNE,0,1607164560049
1,,204,7273,4119,3079,6796,6216,6123,6225,6011,5866,6066,5778,5715,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,743,2020-12-10,20201210T103431_20201210T103426_T32UNE,0,1607596557939
2,,204,7290,4645,4247,6212,5948,6081,6574,6538,6513,5589,6558,9761,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,918,2020-12-13,20201213T104441_20201213T104435_T32UNE,0,1607856354940
3,,204,13563,7886,6103,13786,13131,12854,13294,12795,12816,12792,12453,16304,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1552,2020-12-15,20201215T103339_20201215T103337_T32UNE,0,1608028557571
4,,102,457,1523,872,584,662,479,986,1895,2142,2156,2207,2403,-9999,-9999,-9999,1,0,0,0,0,4,60,68,49,1786,2020-12-18,20201218T104349_20201218T104343_T32UNE,0,1608288353517
5,,204,5010,3035,2992,4559,4424,4361,4633,4836,4892,5218,4956,7122,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,283,2020-12-20,20201220T103441_20201220T103439_T32UNE,0,1608460560001
6,,164,8503,3489,3365,6935,6430,6316,6724,6839,6850,6938,6836,4365,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,-9999,2020-12-23,20201223T104441_20201223T104443_T32UNE,0,1608720356949
7,,102,466,1306,775,560,603,521,1021,1991,2220,2358,2332,2470,-9999,-9999,-9999,2,0,0,0,0,4,58,62,54,815,2020-12-25,20201225T103339_20201225T103341_T32UNE,0,1608892558617
8,,132,6241,3396,2312,6354,5423,5219,5386,5171,5080,5534,4931,5610,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,654,2020-12-28,20201228T104349_20201228T104344_T32UNE,0,1609152355635
9,,126,8014,3114,2454,6772,5440,5250,5480,5148,4981,5085,4834,6210,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1082,2020-12-30,20201230T103441_20201230T103436_T32UNE,0,1609324561504
10,,204,4759,2655,2245,4486,4038,4019,4091,4082,4121,4178,4091,3276,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,570,2021-01-04,20210104T103329_20210104T103331_T32UNE,0,1609756560231
11,,169,9516,4176,3358,9255,7760,7011,7065,6693,6399,7099,6088,10804,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,701,2021-01-07,20210107T104329_20210107T104328_T32UNE,0,1610016356988
12,,204,7314,4230,3488,6770,6151,6078,6267,6042,5903,6089,5882,6530,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,670,2021-01-09,20210109T103421_20210109T103431_T32UNE,0,1610188562212
13,,204,9498,5323,3985,9230,8763,8751,8855,8600,8433,8937,8290,9183,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,425,2021-01-14,20210114T103309_20210114T103305_T32UNE,0,1610620561133
14,,204,5985,1772,1818,5918,5699,5641,5707,5635,5558,5959,5558,5646,-9999,-9999,-9999,0,75,0,0,1024,11,255,255,255,395,2021-01-19,20210119T103351_20210119T103432_T32UNE,0,1611052562306
15,,204,7318,2633,2538,5803,5301,5248,5731,5937,6041,5948,6054,3762,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,-9999,2021-01-24,20210124T103229_20210124T103227_T32UNE,0,1611484561372
16,,204,4325,1564,1644,4045,3904,3953,4113,4125,4109,4423,4139,4963,-9999,-9999,-9999,0,28,0,0,1024,10,255,255,255,318,2021-01-29,20210129T103301_20210129T103300_T32UNE,0,1611916561786
17,,204,6685,1874,1066,6469,6070,6093,6254,6037,6078,6045,5941,6188,-9999,-9999,-9999,0,82,0,0,1024,11,255,255,255,945,2021-02-03,20210203T103139_20210203T103135_T32UNE,0,1612348560949
18,,204,8247,2514,2585,8037,7424,7048,7386,7504,7378,8072,7249,11089,-9999,-9999,-9999,0,17,0,0,1024,8,255,255,255,412,2021-02-08,20210208T103201_20210208T103428_T32UNE,0,1612780560561
19,,114,7145,666,681,8218,7979,8320,8597,8439,8194,8627,7925,7790,-9999,-9999,-9999,0,95,0,0,0,11,255,255,255,505,2021-02-13,20210213T103039_20210213T103035_T32UNE,0,1613212559905
20,,204,4339,2415,2311,3766,3503,3346,3996,4196,4135,4316,4112,14195,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1508,2021-02-18,20210218T103101_20210218T103100_T32UNE,0,1613644560799
21,,204,6539,5440,4672,6277,6157,6151,6651,6443,6230,6366,6008,12925,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1200,2021-02-23,20210223T102929_20210223T102927_T32UNE,0,1614076559740
22,,77,255,1940,1189,469,685,571,1133,2093,2281,2497,2441,2469,-9999,-9999,-9999,0,0,0,0,0,4,49,71,59,931,2021-02-26,20210226T103909_20210226T103910_T32UNE,0,1614336356549
23,,114,3641,3660,3203,3233,3077,3035,3383,3693,3784,4026,3875,4428,-9999,-9999,-9999,93,0,0,0,1024,9,255,255,255,686,2021-02-28,20210228T103021_20210228T103022_T32UNE,0,1614508561364
24,,60,141,1916,1153,328,591,523,1097,2081,2337,2608,2505,2447,-9999,-9999,-9999,0,0,0,0,0,4,34,61,54,340,2021-03-05,20210305T102809_20210305T103123_T32UNE,0,1614940560637
25,,61,127,1780,1041,390,686,566,1154,2140,2363,2679,2521,1301,-9999,-9999,-9999,0,0,0,0,0,4,40,70,58,248,2021-03-08,20210308T103759_20210308T104302_T32UNE,0,1615200357200
26,,204,3613,2473,2219,3420,3424,3389,3574,3979,4170,4435,4315,2682,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,-9999,2021-03-10,20210310T103021_20210310T103022_T32UNE,0,1615372561216
27,,144,1891,2458,2031,1954,2147,2310,2746,3255,3465,3670,3613,3610,-9999,-9999,-9999,91,0,0,0,1024,9,199,219,236,631,2021-03-15,20210315T102709_20210315T102927_T32UNE,0,1615804560867
28,,204,1393,2146,1485,1322,1470,1435,1910,2557,2717,2862,2892,3079,-9999,-9999,-9999,21,0,0,0,0,7,135,150,147,963,2021-03-20,20210320T103021_20210320T103151_T32UNE,0,1616236560435
29,,108,262,2096,1266,415,663,566,1168,2261,2553,2787,2744,2820,-9999,-9999,-9999,0,0,0,0,0,4,43,68,58,680,2021-03-25,20210325T102639_20210325T103152_T32UNE,0,1616668560405
30,,66,283,2010,1131,376,678,524,1173,2402,2702,2853,2847,2922,-9999,-9999,-9999,0,0,0,0,0,4,39,70,54,916,2021-03-30,20210330T103021_20210330T103442_T32UNE,0,1617100558999
31,,204,7340,6827,5779,8825,8359,8285,8494,8342,8321,8951,8187,7666,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,676,2021-04-04,20210404T102559_20210404T103315_T32UNE,0,1617532559245
32,,204,6756,5441,3733,7162,7229,7440,7835,7856,7885,8268,7846,7887,-9999,-9999,-9999,100,0,0,0,1024,9,243,255,255,570,2021-04-07,20210407T103619_20210407T103620_T32UNE,0,1617792355226
33,,150,13678,5067,4164,12364,11226,10797,10960,10478,10256,10622,9999,11821,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,671,2021-04-09,20210409T103021_20210409T103100_T32UNE,0,1617964556887
34,,114,16731,5988,4929,15412,14267,14030,14495,14102,13826,14571,13595,15732,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,589,2021-04-12,20210412T104021_20210412T104212_T32UNE,0,1618224352572
35,,126,9524,4512,3204,9750,8570,8153,8280,7873,7543,9003,7156,12785,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,624,2021-04-14,20210414T102559_20210414T103537_T32UNE,0,1618396557557
36,,90,91,2019,1152,254,465,381,906,2043,2429,2663,2746,2880,-9999,-9999,-9999,0,0,0,0,0,4,27,48,39,1024,2021-04-17,20210417T103619_20210417T104526_T32UNE,0,1618656353334
37,,288,344,2087,1160,383,612,508,1052,2371,2796,2990,3101,3262,-9999,-9999,-9999,0,0,0,0,0,4,40,63,52,1362,2021-04-19,20210419T103021_20210419T103017_T32UNE,0,1618828556397
38,,204,8917,6595,5683,9191,8567,8368,8735,8632,8515,9042,8401,11560,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,860,2021-04-22,20210422T104021_20210422T104431_T32UNE,0,1619088353615
39,,96,904,1229,704,511,578,446,764,1761,2169,2269,2338,2713,-9999,-9999,-9999,0,0,0,0,2048,4,53,59,46,525,2021-04-24,20210424T102549_20210424T102552_T32UNE,0,1619260555983
40,,66,297,1930,1089,437,613,481,985,2557,3143,3471,3415,3598,-9999,-9999,-9999,0,0,0,0,2048,10,45,63,50,489,2021-04-27,20210427T103619_20210427T103618_T32UNE,0,1619520353130
41,,204,8280,3588,3551,8427,8423,8661,8980,8807,8768,9222,8756,9156,-9999,-9999,-9999,0,24,0,0,1024,11,255,255,255,753,2021-04-29,20210429T103021_20210429T103504_T32UNE,0,1619692558859
42,,204,3622,3724,3210,3953,3574,3380,3635,3955,4024,4788,4080,6771,-9999,-9999,-9999,99,0,0,0,2048,9,255,254,253,770,2021-05-02,20210502T104021_20210502T104259_T32UNE,0,1619952355864
43,,204,10256,3358,2726,9904,9526,9625,9731,9526,9572,9435,9370,8937,-9999,-9999,-9999,6,54,0,0,1024,11,255,255,255,419,2021-05-04,20210504T102559_20210504T102554_T32UNE,0,1620124558431
44,,144,6034,2093,2128,5718,5278,5167,5561,5825,5902,6155,5863,8724,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,853,2021-05-07,20210507T103619_20210507T103621_T32UNE,0,1620384355516
45,,126,652,1073,696,558,685,589,967,1990,2372,2375,2484,3295,-9999,-9999,-9999,1,0,0,0,2048,10,57,70,61,1419,2021-05-09,20210509T103021_20210509T103104_T32UNE,0,1620556560621
46,,204,3986,3223,2803,3429,3365,3407,3986,4499,4746,4365,4897,8316,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2020,2021-05-12,20210512T104021_20210512T104217_T32UNE,0,1620816357480
47,,204,10389,6870,5230,10642,10630,10797,10819,10603,10799,10985,10662,8633,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,673,2021-05-14,20210514T102559_20210514T102556_T32UNE,0,1620988560430
48,,108,1295,2105,1103,1448,1481,1177,1689,3847,4957,5245,5171,5384,-9999,-9999,-9999,13,0,0,0,0,8,148,151,120,1301,2021-05-19,20210519T103021_20210519T103413_T32UNE,0,1621420561799
49,,204,7651,1507,1538,7849,7846,8014,8274,8160,8085,8499,7994,8635,-9999,-9999,-9999,0,100,0,0,1024,11,255,255,255,620,2021-05-22,20210522T104021_20210522T104323_T32UNE,0,1621680358441
50,,102,6307,5668,5299,5954,5852,5716,6177,6524,6683,7135,6670,11910,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1352,2021-05-24,20210524T102559_20210524T103253_T32UNE,0,1621852561756
51,,126,418,1414,610,358,499,264,736,3251,4706,4939,4925,5118,-9999,-9999,-9999,0,0,0,0,0,4,37,51,28,1237,2021-05-29,20210529T103021_20210529T103421_T32UNE,0,1622284562328
52,,137,1352,1833,1354,1267,1388,1204,1642,3273,4045,4222,4155,5725,-9999,-9999,-9999,11,0,0,0,2048,8,130,142,123,1436,2021-06-01,20210601T104021_20210601T104302_T32UNE,0,1622544358777
53,,204,1565,1987,1350,1948,1850,1545,1951,3491,4486,4679,4614,6718,-9999,-9999,-9999,22,0,0,0,2048,8,199,189,158,1908,2021-06-03,20210603T102559_20210603T102558_T32UNE,0,1622716562423
54,,120,191,1429,664,217,413,234,693,3075,4433,4559,4645,4711,-9999,-9999,-9999,0,0,0,0,0,4,23,43,25,1855,2021-06-08,20210608T103021_20210608T103106_T32UNE,0,1623148562231
55,,132,11648,5026,4279,10263,9792,9555,10163,9810,9627,9236,9398,15830,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2220,2021-06-11,20210611T104021_20210611T104218_T32UNE,0,1623408358532
56,,78,6969,5861,5128,7084,6762,6532,6959,7061,7177,7472,7114,10955,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1781,2021-06-13,20210613T102559_20210613T103528_T32UNE,0,1623580562580
57,,288,243,1641,770,319,541,352,848,3331,4864,4892,5169,5025,0,0,0,0,0,-9999,-9999,0,4,33,56,37,3017,2021-06-18,20210618T103021_20210618T103022_T32UNE,0,1624012561793
58,,204,11373,5595,3792,11342,11263,11269,11430,11135,11084,10971,10958,8869,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1307,2021-06-21,20210621T104021_20210621T104407_T32UNE,0,1624272358707
59,,114,7949,3422,3679,7513,6993,6657,7236,7163,7144,7398,6984,15571,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2146,2021-06-23,20210623T102559_20210623T102558_T32UNE,0,1624444562034
60,,120,334,1590,760,396,622,412,935,3158,4413,4531,4713,4600,-9999,-9999,-9999,0,0,0,0,0,4,41,64,43,2511,2021-06-28,20210628T103021_20210628T103429_T32UNE,0,1624876563175
61,,204,1328,2584,2137,1461,1990,2037,2473,3371,3740,3900,3858,6265,-9999,-9999,-9999,77,0,0,0,2048,9,149,203,208,1921,2021-07-01,20210701T104021_20210701T104440_T32UNE,0,1625136359977
62,,132,504,457,216,448,412,251,436,1217,1706,1682,1726,1891,-9999,-9999,-9999,0,0,0,0,0,4,46,43,26,2607,2021-07-03,20210703T102559_20210703T103127_T32UNE,0,1625308562913
63,,204,6176,1946,2077,5384,4956,4635,5213,5416,5469,5594,5434,15908,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2317,2021-07-08,20210708T103031_20210708T103351_T32UNE,0,1625740564263
64,,209,185,1196,595,329,608,504,1053,2292,2793,2863,3029,3428,-9999,-9999,-9999,1,0,0,0,0,4,34,63,52,2646,2021-07-11,20210711T104031_20210711T104217_T32UNE,0,1626000360928
65,,204,493,1545,916,692,919,866,1365,2288,2768,2851,3044,3326,-9999,-9999,-9999,4,0,0,0,2048,4,71,94,89,2656,2021-07-13,20210713T102559_20210713T103529_T32UNE,0,1626172563517
66,,174,690,2137,1331,848,1048,1229,1634,2090,2373,2531,2722,3355,-9999,-9999,-9999,0,0,0,0,0,5,87,107,125,2085,2021-07-18,20210718T103031_20210718T103025_T32UNE,0,1626604564821
67,,192,9203,6098,4519,9623,9596,9424,10078,9568,9285,9560,9079,14330,-9999,-9999,-9999,100,0,0,0,1024,9,243,255,255,1969,2021-07-21,20210721T104031_20210721T104323_T32UNE,0,1626864361315
68,,204,4640,3867,3626,4000,3700,3548,3910,4325,4701,4614,4782,6605,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1820,2021-07-23,20210723T102559_20210723T103037_T32UNE,0,1627036563563
69,,168,765,2625,1682,977,1176,1476,1786,2082,2324,2481,2695,3296,-9999,-9999,-9999,0,0,0,0,0,5,100,120,151,2052,2021-07-28,20210728T103031_20210728T103025_T32UNE,0,1627468564855
70,,204,-9999,1750,1348,3353,4250,4277,4554,4695,4842,4842,4882,-9999,-9999,-9999,-9999,0,5,0,0,1024,11,192,255,255,1558,2021-07-31,20210731T104031_20210731T104300_T32UNE,0,1627728361168
71,,144,2492,2848,1993,2281,2391,2438,2895,3622,4030,4146,4215,6312,-9999,-9999,-9999,73,0,0,0,0,8,232,243,246,1663,2021-08-02,20210802T102559_20210802T103533_T32UNE,0,1627900563003
72,,144,2633,3303,2973,2558,2752,2693,3198,3824,4071,4152,4176,8775,-9999,-9999,-9999,77,0,0,0,2048,9,236,248,250,2082,2021-08-07,20210807T103031_20210807T103108_T32UNE,0,1628332564300
73,,126,8466,2290,2538,7894,7531,7424,8120,7912,7750,7892,7626,15714,-9999,-9999,-9999,0,92,0,0,1024,8,255,255,255,1858,2021-08-10,20210810T104031_20210810T104220_T32UNE,0,1628592360531
74,,240,367,2040,1403,556,688,835,1024,1312,1517,1573,1671,2147,-9999,-9999,-9999,0,0,0,0,0,5,57,71,85,1783,2021-08-12,20210812T102559_20210812T103532_T32UNE,0,1628764561990
75,,204,4255,2246,2003,4698,4758,4789,5070,5331,5460,5872,5541,5914,-9999,-9999,-9999,13,2,0,0,1024,11,255,255,255,961,2021-08-17,20210817T103021_20210817T103024_T32UNE,0,1629196563921
76,,204,-9999,3770,2958,3803,7257,7012,7442,6964,6668,6653,6403,-9999,-9999,-9999,-9999,6,0,0,0,1024,9,128,255,255,2072,2021-08-20,20210820T104021_20210820T104404_T32UNE,0,1629456360224
77,,204,8528,1479,1668,8669,8533,8474,8669,8475,8480,8827,8325,11712,-9999,-9999,-9999,0,100,0,0,1024,8,255,255,255,742,2021-08-22,20210822T102559_20210822T103247_T32UNE,0,1629628560377
78,,114,6061,2552,2140,6219,6247,6301,6454,6583,6890,6847,6911,6558,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1209,2021-08-25,20210825T103619_20210825T103907_T32UNE,0,1629888356264
79,,204,10198,4188,2729,9577,8798,8389,8583,8049,7728,8661,7431,13888,-9999,-9999,-9999,63,0,0,0,1024,9,255,255,255,1102,2021-08-27,20210827T103021_20210827T103429_T32UNE,0,1630060563287
80,,84,294,2954,2428,668,921,1187,1445,1730,1929,2019,2114,2545,-9999,-9999,-9999,0,0,0,0,0,5,69,94,121,1576,2021-09-01,20210901T102559_20210901T103314_T32UNE,0,1630492558257
81,,144,1218,2824,2549,1472,1588,1600,1966,2630,2957,3097,3104,3969,-9999,-9999,-9999,13,0,0,0,0,8,151,162,164,1423,2021-09-04,20210904T103619_20210904T103659_T32UNE,0,1630752354377
82,,204,3332,2425,2064,2917,2935,2815,3221,3821,4083,4172,4228,7791,-9999,-9999,-9999,86,0,0,0,2048,9,255,255,255,1432,2021-09-06,20210906T103021_20210906T103518_T32UNE,0,1630924562030
83,,204,9116,4242,3243,8795,8030,7446,7701,7165,7082,7069,6783,10172,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2620,2021-09-11,20210911T102559_20210911T103017_T32UNE,0,1631356557804
84,,204,1422,3329,2896,1728,2056,2187,2619,3369,3715,3846,3950,3508,-9999,-9999,-9999,95,0,0,0,0,9,177,210,223,1515,2021-09-16,20210916T103021_20210916T103056_T32UNE,0,1631788563210
85,,108,10017,4884,3345,9117,8436,7997,8355,7928,7671,8104,7479,14085,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1356,2021-09-19,20210919T104031_20210919T104412_T32UNE,0,1632048360318
86,,204,7704,2742,2701,7645,7641,7635,7400,7485,7755,7983,7720,3998,-9999,-9999,-9999,0,65,0,0,1024,8,255,255,255,-9999,2021-09-21,20210921T102639_20210921T102641_T32UNE,0,1632220558810
87,,204,9548,6207,4841,9849,9715,9559,9967,9450,9369,9368,9129,10419,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1653,2021-09-24,20210924T103659_20210924T104424_T32UNE,0,1632480355994
88,,96,641,2117,1754,840,1025,1065,1385,2006,2275,2282,2427,3023,-9999,-9999,-9999,1,0,0,0,0,7,86,105,109,2104,2021-09-26,20210926T103031_20210926T103026_T32UNE,0,1632652565240
89,,96,744,1791,1408,1006,1172,1284,1504,1812,2001,2126,2117,3860,-9999,-9999,-9999,12,0,0,0,2048,8,103,120,131,1485,2021-10-01,20211001T102739_20211001T102820_T32UNE,0,1633084561041
90,,126,746,1528,1068,1112,1134,1042,1275,1685,1829,2291,1920,2697,-9999,-9999,-9999,11,0,0,0,0,7,114,116,107,1149,2021-10-06,20211006T102921_20211006T103433_T32UNE,0,1633516566519
91,,84,376,1327,983,600,703,691,949,1272,1417,1490,1507,2277,-9999,-9999,-9999,2,0,0,0,0,7,62,72,71,1172,2021-10-11,20211011T102849_20211011T103224_T32UNE,0,1633948562523
92,,204,12127,6455,4473,11894,11303,10712,11116,10851,10578,11388,10360,16028,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,842,2021-10-16,20211016T103031_20211016T103258_T32UNE,0,1634380566931
93,,204,6468,3430,2895,6909,6783,6623,6797,6637,6480,7070,6257,9352,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,651,2021-10-21,20211021T102959_20211021T102953_T32UNE,0,1634812563076
94,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,2021-10-24,20211024T104029_20211024T104024_T32UNE,0,1635072359526
95,,144,3597,2618,2176,2755,2765,2635,3102,3609,3768,3484,3911,5708,-9999,-9999,-9999,72,0,0,0,1024,9,247,247,244,1447,2021-10-26,20211026T103131_20211026T103127_T32UNE,0,1635244566526
